SPD,ANG,TRQ
2.0,-20.0,2441.0
2.0,-20.0,2442.0
2.0,-20.0,2442.0
2.0,-20.0,2442.0
2.0,-21.0,2442.0
2.0,-21.0,2442.0
2.0,-21.0,2442.0
2.0,-20.0,2441.0
2.0,-20.0,2442.0
2.0,-19.0,2442.0
2.0,-19.0,2442.0
2.0,-18.0,2441.0
2.0,-17.0,2441.0
2.0,-17.0,2441.0
2.0,-17.0,2441.0
2.0,-17.0,2441.0
2.0,-16.0,2441.0
2.0,-15.0,2441.0
2.0,-15.0,2441.0
2.0,-15.0,2441.0
2.0,-13.0,2441.0
2.0,-13.0,2441.0
2.0,-13.0,2441.0
2.0,-13.0,2441.0
2.0,-13.0,2441.0
2.0,-13.0,2441.0
2.0,-13.0,2441.0
2.0,-13.0,2441.0
2.0,-13.0,2441.0
2.0,-13.0,2442.0
2.0,-13.0,2442.0
2.0,-13.0,2442.0
2.0,-13.0,2442.0
2.0,-13.0,2443.0
2.0,-13.0,2442.0
2.0,-13.0,2442.0
2.0,-13.0,2441.0
2.0,-13.0,2442.0
2.0,-13.0,2441.0
2.0,-13.0,2441.0
2.0,-13.0,2442.0
2.0,-14.0,2442.0
2.0,-15.0,2441.0
2.0,-17.0,2441.0
2.0,-18.0,2441.0
2.0,-19.0,2441.0
2.0,-21.0,2441.0
2.0,-22.0,2440.0
2.0,-24.0,2441.0
2.0,-26.0,2441.0
2.0,-27.0,2441.0
2.0,-29.0,2441.0
2.0,-32.0,2442.0
2.0,-34.0,2441.0
2.0,-36.0,2441.0
2.0,-38.0,2441.0
2.0,-39.0,2442.0
2.0,-41.0,2442.0
2.0,-42.0,2442.0
2.0,-43.0,2442.0
2.0,-45.0,2442.0
2.0,-45.0,2442.0
2.0,-47.0,2442.0
2.0,-49.0,2442.0
2.0,-52.0,2442.0
2.0,-55.0,2441.0
2.0,-59.0,2441.0
2.0,-62.0,2434.0
2.0,-62.0,2451.0
2.0,-61.0,2464.0
2.0,-63.0,2467.0
2.0,-67.0,2499.0
2.0,-69.0,2508.0
2.0,-69.0,2509.0
2.0,-69.0,2517.0
2.0,-69.0,2538.0
2.0,-71.0,2545.0
2.0,-70.0,2598.0
2.0,-70.0,2533.0
2.0,-71.0,2540.0
2.0,-71.0,2534.0
2.0,-71.0,2519.0
2.0,-71.0,2541.0
2.0,-71.0,2540.0
2.0,-71.0,2523.0
2.5,-71.0,2524.0
2.5,-71.0,2517.0
2.5,-71.0,2519.0
2.5,-71.0,2604.0
2.5,-72.0,2709.0
2.5,-72.0,2672.0
2.5,-72.0,2577.0
2.5,-72.0,2504.0
2.5,-72.0,2522.0
2.5,-72.0,2655.0
2.5,-72.0,2577.0
2.5,-72.0,2534.0
2.5,-72.0,2536.0
2.5,-72.0,2641.0
2.5,-73.0,2538.0
2.5,-73.0,2669.0
2.5,-71.0,2646.0
2.5,-71.0,2567.0
3.0,-71.0,2559.0
3.0,-71.0,2571.0
3.0,-72.0,2698.0
3.0,-72.0,2613.0
3.0,-75.0,2612.0
3.0,-73.0,2699.0
3.0,-72.0,2680.0
3.0,-71.0,2515.0
3.0,-73.0,2523.0
3.0,-75.0,2557.0
3.0,-73.0,2531.0
3.0,-73.0,2538.0
3.0,-73.0,2522.0
3.0,-73.0,2520.0
3.0,-74.0,2532.0
3.0,-73.0,2549.0
3.0,-73.0,2538.0
3.0,-73.0,2542.0
3.0,-73.0,2557.0
3.0,-76.0,2575.0
3.0,-75.0,2571.0
3.0,-75.0,2538.0
3.0,-75.0,2584.0
3.0,-73.0,2553.0
3.0,-75.0,2556.0
3.0,-75.0,2577.0
3.0,-74.0,2565.0
3.0,-77.0,2596.0
3.0,-77.0,2640.0
3.0,-77.0,2659.0
3.0,-78.0,2650.0
3.0,-79.0,2592.0
3.0,-80.0,2654.0
3.0,-80.0,2655.0
3.0,-79.0,2641.0
3.0,-80.0,2633.0
3.5,-80.0,2589.0
3.5,-81.0,2624.0
3.5,-81.0,2653.0
3.5,-81.0,2632.0
3.5,-82.0,2647.0
3.5,-81.0,2585.0
3.5,-81.0,2645.0
3.5,-81.0,2625.0
3.5,-81.0,2680.0
3.5,-82.0,2647.0
3.5,-83.0,2628.0
3.5,-83.0,2664.0
3.5,-81.0,2640.0
3.5,-81.0,2660.0
3.5,-82.0,2618.0
3.5,-80.0,2637.0
3.5,-80.0,2606.0
3.5,-80.0,2643.0
4.0,-79.0,2617.0
4.0,-79.0,2652.0
4.0,-81.0,2591.0
4.0,-81.0,2641.0
4.0,-81.0,2660.0
4.0,-81.0,2663.0
4.0,-83.0,2684.0
4.0,-83.0,2665.0
4.0,-82.0,2672.0
4.0,-83.0,2679.0
4.0,-83.0,2688.0
4.0,-84.0,2679.0
4.0,-84.0,2682.0
4.0,-84.0,2698.0
4.0,-85.0,2692.0
4.0,-84.0,2692.0
4.0,-86.0,2693.0
4.5,-86.0,2698.0
4.5,-86.0,2694.0
4.5,-87.0,2747.0
4.5,-87.0,2735.0
4.5,-89.0,2750.0
4.5,-89.0,2774.0
4.5,-89.0,2770.0
4.5,-90.0,2802.0
4.5,-90.0,2782.0
5.0,-90.0,2785.0
5.0,-90.0,2828.0
5.0,-90.0,2823.0
5.0,-90.0,2825.0
5.0,-90.0,2757.0
5.0,-92.0,2802.0
5.0,-92.0,2795.0
5.0,-92.0,2788.0
5.0,-92.0,2825.0
13.5,-91.0,2813.0
13.5,-91.0,2786.0
13.5,-92.0,2779.0
13.5,-91.0,2810.0
13.5,-91.0,2778.0
13.5,-91.0,2789.0
13.5,-91.0,2803.0
13.5,-91.0,2796.0
13.5,-91.0,2797.0
13.5,-91.0,2805.0
13.5,-91.0,2784.0
13.5,-91.0,2767.0
13.5,-93.0,2825.0
13.5,-92.0,2790.0
13.5,-91.0,2822.0
13.5,-91.0,2824.0
13.5,-91.0,2796.0
13.5,-91.0,2807.0
13.5,-90.0,2808.0
13.5,-88.0,2786.0
13.5,-88.0,2785.0
13.5,-88.0,2778.0
13.5,-87.0,2769.0
13.5,-87.0,2766.0
13.5,-87.0,2762.0
13.5,-87.0,2746.0
13.5,-87.0,2730.0
13.5,-87.0,2726.0
13.5,-87.0,2727.0
